pair_id,earlier_decision_id,later_decision_id,earlier_text,later_text,blocker_score,relation,direction_ok,confidence,annotator,notes
ES2014.p001,ES2014a.JacquelinePalmer.s.11,ES2014b.JacquelinePalmer.s.15,The group discussed the function of the prototype and decided that they should restrict the remote to television for the time being instead of allowing it to control multiple devices.,The remote will feature a locator function that responds to clapping.,0.3333333333333333,,,,,
ES2014.p002,ES2014a.JacquelinePalmer.s.11,ES2014c.JacquelinePalmer.s.14,The group discussed the function of the prototype and decided that they should restrict the remote to television for the time being instead of allowing it to control multiple devices.,The group decided to use speech recognition but only for the locator function.,0.42857142857142855,,,,,
ES2014.p003,ES2014a.JacquelinePalmer.s.11,ES2014c.JacquelinePalmer.s.17,The group discussed the function of the prototype and decided that they should restrict the remote to television for the time being instead of allowing it to control multiple devices.,The group decided to focus on a basic remote that will appeal to the widest market.,0.375,,,,,
ES2014.p004,ES2014b.JacquelinePalmer.s.15,ES2014c.JacquelinePalmer.s.14,The remote will feature a locator function that responds to clapping.,The group decided to use speech recognition but only for the locator function.,0.3333333333333333,,,,,
ES2014.p005,ES2014b.JacquelinePalmer.s.15,ES2014c.JacquelinePalmer.s.15,The remote will feature a locator function that responds to clapping.,"The remote will feature push buttons instead of scroll buttons, and a kinetic power supply.",0.3333333333333333,,,,,
ES2014.p006,ES2014b.JacquelinePalmer.s.15,ES2014c.JacquelinePalmer.s.18,The remote will feature a locator function that responds to clapping.,"They also decided to market the speech recognition component as a ""finder function"" so as not to confuse it with more advanced speech recognition components in other remote controls.",0.3333333333333333,,,,,
ES2014.p007,ES2014b.JacquelinePalmer.s.15,ES2014c.JacquelinePalmer.s.20,The remote will feature a locator function that responds to clapping.,"The remote will also feature a rubber case and rubber buttons, and a single-curved design.",0.3333333333333333,,,,,
ES2014.p008,ES2014b.JacquelinePalmer.s.15,ES2014c.JacquelinePalmer.s.21,The remote will feature a locator function that responds to clapping.,"The remote will feature the company logo, possibly in a sticker form.",0.3333333333333333,,,,,
ES2014.p009,ES2014b.JacquelinePalmer.s.18,ES2014d.vkaraisk.s.14,"Buttons to adjust picture quality, channel tuning, and other settings will be hidden in this panel; the number pad, the channel- and volume-changing and power buttons will remain on the main interface.","However, volume and channel buttons will be different from the rest.",0.42857142857142855,,,,,
ES2014.p010,ES2014b.JacquelinePalmer.s.18,ES2014d.vkaraisk.s.15,"Buttons to adjust picture quality, channel tuning, and other settings will be hidden in this panel; the number pad, the channel- and volume-changing and power buttons will remain on the main interface.",Volume buttons will be lemon-shaped and coloured.,0.4,,,,,
ES2014.p011,ES2014b.JacquelinePalmer.s.18,ES2014d.vkaraisk.s.17,"Buttons to adjust picture quality, channel tuning, and other settings will be hidden in this panel; the number pad, the channel- and volume-changing and power buttons will remain on the main interface.",The buttons in this panel will all be in the standard blue colour.,0.3333333333333333,,,,,
ES2014.p012,ES2014c.JacquelinePalmer.s.20,ES2014d.vkaraisk.s.11,"The remote will also feature a rubber case and rubber buttons, and a single-curved design.",The remote will be single-curved with a cherry design on top.,0.6666666666666666,,,,,
ES2014.p013,ES2014c.JacquelinePalmer.s.16,ES2014d.vkaraisk.s.18,The remote will contain a simple chip.,A simple chip is going to support the electronics of the device.,0.5,,,,,
ES2014.p014,ES2014c.JacquelinePalmer.s.15,ES2014d.vkaraisk.s.20,"The remote will feature push buttons instead of scroll buttons, and a kinetic power supply.",The remote is going to be powered by kinetic energy.,0.4,,,,,
