id,title,year,venue,doi,peer_reviewed,axis,section,status,verified,notes
carletta2006ami,The AMI Meeting Corpus: A Pre-announcement,2006,MLMI 2005 (LNCS 3869),10.1007/11677482_3,true,local-first-privacy,8.1,included,crossref-doi,"Corpus resource underpinning this project; licence per corpus.toml, not the paper."
carletta2007killercorpus,Unleashing the killer corpus,2007,Language Resources and Evaluation 41(2),10.1007/s10579-007-9040-x,true,local-first-privacy,8.1,included,crossref-doi,"Cite for corpus design rationale, not for licence terms (superseded 2017)."
ami2017licence,AMI Meeting Corpus Licence,s.f.,University of Edinburgh (web page),,false,local-first-privacy,8.1,included,primary-source,"CC BY 4.0; page declares no effective date; verified 2026-09-20. Cite the licence page itself, not the corpus papers, for licence terms."
renals2007recognition,Recognition and Understanding of Meetings: The AMI and AMIDA Projects,2007,IEEE ASRU 2007,,true,classical-nlp-vs-llm,8.1,included,acl-anthology,No DOI found in thesis source; leave blank rather than fabricate.
hsueh2007whatdecisions,What Decisions Have You Made?: Automatic Decision Detection in Meeting Conversations,2007,NAACL-HLT 2007,,true,classical-nlp-vs-llm,8.1,included,acl-anthology,ACL Anthology N07-1004. Source of the decision-act operationalization reused in OE1.
hsueh2007automaticdecision,Automatic Decision Detection in Meeting Speech,2007,MLMI 2007 (LNCS 4892),10.1007/978-3-540-78155-4_15,true,classical-nlp-vs-llm,8.1,included,crossref-doi,Distinct from hsueh2007whatdecisions; Springer dates volume 2008.
fernandez2008modelling,Modelling and Detecting Decisions in Multi-party Dialogue,2008,SIGdial 2008,,true,classical-nlp-vs-llm,8.1,included,acl-anthology,ACL Anthology W08-0125. Source of the negative-kappa annotation-instability evidence (thesis 1.4).
bui2009extracting,Extracting Decisions from Multi-Party Dialogue Using Directed Graphical Models and Semantic Similarity,2009,SIGDIAL 2009,,true,classical-nlp-vs-llm,8.1,included,acl-anthology,ACL Anthology W09-3934.
murray2009extrinsic,Extrinsic Summarization Evaluation: A Decision Audit Task,2009,ACM TSLP 6(2),,true,classical-nlp-vs-llm,8.1,included,acm-dl,"Closest antecedent to cross-meeting decision tracking; human protocol, not annotation."
zhong2021qmsum,QMSum: A New Benchmark for Query-based Multi-domain Meeting Summarization,2021,NAACL-HLT 2021,10.18653/v1/2021.naacl-main.472,true,rag-vs-compiled,8.1,included,crossref-doi,
rennard2023abstractive,Abstractive Meeting Summarization: A Survey,2023,TACL 11,10.1162/tacl_a_00578,true,classical-nlp-vs-llm,8.1,included,crossref-doi,
lewis2020rag,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2020,NeurIPS 33,,true,rag-vs-compiled,8.2,included,arxiv-2005.11401,Foundational RAG reference.
edge2024graphrag,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,2024,arXiv,,false,rag-vs-compiled,8.2,included,arxiv-2404.16130,"Preprint, not peer reviewed. Closest prior work on structured retrieval (thesis 1.2)."
guo2025lightrag,LightRAG: Simple and Fast Retrieval-Augmented Generation,2025,Findings of ACL: EMNLP 2025,10.18653/v1/2025.findings-emnlp.568,true,rag-vs-compiled,8.2,included,crossref-doi,
es2024ragas,RAGAs: Automated Evaluation of Retrieval Augmented Generation,2024,EACL 2024 System Demos,10.18653/v1/2024.eacl-demo.16,true,rag-vs-compiled,8.2,included,crossref-doi,
saadfalcon2024ares,ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems,2024,NAACL-HLT 2024,10.18653/v1/2024.naacl-long.20,true,rag-vs-compiled,8.2,included,crossref-doi,
dagdelen2024structured,Structured information extraction from scientific text with large language models,2024,Nature Communications 15,10.1038/s41467-024-45563-x,true,classical-nlp-vs-llm,8.3,included,crossref-doi,
wadhwa2023revisiting,Revisiting Relation Extraction in the era of Large Language Models,2023,ACL 2023,10.18653/v1/2023.acl-long.868,true,classical-nlp-vs-llm,8.3,included,crossref-doi,
xu2024llmsgenerative,Large language models for generative information extraction: a survey,2024,Frontiers of Computer Science 18(6),10.1007/s11704-024-40555-y,true,classical-nlp-vs-llm,8.3,included,crossref-doi,
mihindukulasooriya2023text2kgbench,Text2KGBench: A Benchmark for Ontology-Driven Knowledge Graph Generation from Text,2023,ISWC 2023,10.1007/978-3-031-47243-5_14,true,rag-vs-compiled,8.3,included,crossref-doi,
zhu2024llmskg,LLMs for knowledge graph construction and reasoning: recent capabilities and future opportunities,2024,World Wide Web 27(5),10.1007/s11280-024-01297-w,true,rag-vs-compiled,8.3,included,crossref-doi,
jarnac2025uncertainty,Uncertainty Management in the Construction of Knowledge Graphs: A Survey,2025,TGDK 3(1),10.4230/TGDK.3.1.3,true,rag-vs-compiled,8.3,included,crossref-doi,
cai2025understanding,Understanding the Effect of Knowledge Graph Extraction Error on Downstream Graph Analyses,2025,arXiv,,false,rag-vs-compiled,8.3,included,arxiv-2506.12367,Preprint. Closest antecedent on downstream cost of extraction error (thesis 1.3).
zhang2026consistencygate,ConsistencyGate: Preventing Memory Contamination in LLM Agents via Self-Consistency Admission Control,2026,arXiv,,false,rag-vs-compiled,8.3,included,arxiv-2607.22962,Preprint. Must be read before finalizing novelty claim (thesis section 9).
ji2023survey,Survey of Hallucination in Natural Language Generation,2023,ACM Computing Surveys 55(12),10.1145/3571730,true,classical-nlp-vs-llm,8.4,included,crossref-doi,Source of intrinsic/extrinsic hallucination distinction.
huang2025survey,A Survey on Hallucination in Large Language Models,2025,ACM TOIS 43(2),10.1145/3703155,true,classical-nlp-vs-llm,8.4,included,crossref-doi,
rashkin2023measuring,Measuring Attribution in Natural Language Generation Models,2023,Computational Linguistics 49(4),10.1162/coli_a_00486,true,rag-vs-compiled,8.4,included,crossref-doi,Source of the evidence-support metric used in OE3/5.6.
bohnet2022attributed,Attributed Question Answering: Evaluation and Modeling for Attributed Large Language Models,2022,arXiv,,false,rag-vs-compiled,8.4,included,arxiv-2212.08037,"Preprint, not peer reviewed."
