id,series_id,stratum,text,reference_answer,reference_evidence,author,validated_by,validation_notes
q001,,E1_point_fact,,,,gm,,
q002,,E1_point_fact,,,,gm,,
q003,,E1_point_fact,,,,gm,,
q004,,E1_point_fact,,,,gm,,
q005,,E1_point_fact,,,,gm,,
q006,,E1_point_fact,,,,gm,,
q007,,E1_point_fact,,,,gm,,
q008,,E1_point_fact,,,,gm,,
q009,,E1_point_fact,,,,gm,,
q010,,E1_point_fact,,,,gm,,
q011,,E1_point_fact,,,,gm,,
q012,,E1_point_fact,,,,gm,,
q013,,E1_point_fact,,,,gm,,
q014,,E1_point_fact,,,,gm,,
q015,,E1_point_fact,,,,gm,,
q016,,E1_point_fact,,,,gm,,
q017,,E1_point_fact,,,,gm,,
q018,,E1_point_fact,,,,gm,,
q019,,E1_point_fact,,,,gm,,
q020,,E1_point_fact,,,,gm,,
q021,,E1_point_fact,,,,gm,,
q022,,E1_point_fact,,,,gm,,
q023,,E1_point_fact,,,,gm,,
q024,,E1_point_fact,,,,gm,,
q025,,E1_point_fact,,,,gm,,
q026,,E2_current_state,,,,gm,,
q027,,E2_current_state,,,,gm,,
q028,,E2_current_state,,,,gm,,
q029,,E2_current_state,,,,gm,,
q030,,E2_current_state,,,,gm,,
q031,,E2_current_state,,,,gm,,
q032,,E2_current_state,,,,gm,,
q033,,E2_current_state,,,,gm,,
q034,,E2_current_state,,,,gm,,
q035,,E2_current_state,,,,gm,,
q036,,E2_current_state,,,,gm,,
q037,,E2_current_state,,,,gm,,
q038,,E2_current_state,,,,gm,,
q039,,E2_current_state,,,,gm,,
q040,,E2_current_state,,,,gm,,
q041,,E2_current_state,,,,gm,,
q042,,E2_current_state,,,,gm,,
q043,,E2_current_state,,,,gm,,
q044,,E2_current_state,,,,gm,,
q045,,E2_current_state,,,,gm,,
q046,,E2_current_state,,,,gm,,
q047,,E2_current_state,,,,gm,,
q048,,E2_current_state,,,,gm,,
q049,,E2_current_state,,,,gm,,
q050,,E2_current_state,,,,gm,,
q051,,E3_evolution,,,,gm,,
q052,,E3_evolution,,,,gm,,
q053,,E3_evolution,,,,gm,,
q054,,E3_evolution,,,,gm,,
q055,,E3_evolution,,,,gm,,
q056,,E3_evolution,,,,gm,,
q057,,E3_evolution,,,,gm,,
q058,,E3_evolution,,,,gm,,
q059,,E3_evolution,,,,gm,,
q060,,E3_evolution,,,,gm,,
q061,,E3_evolution,,,,gm,,
q062,,E3_evolution,,,,gm,,
q063,,E3_evolution,,,,gm,,
q064,,E3_evolution,,,,gm,,
q065,,E3_evolution,,,,gm,,
q066,,E3_evolution,,,,gm,,
q067,,E3_evolution,,,,gm,,
q068,,E3_evolution,,,,gm,,
q069,,E3_evolution,,,,gm,,
q070,,E3_evolution,,,,gm,,
q071,,E3_evolution,,,,gm,,
q072,,E3_evolution,,,,gm,,
q073,,E3_evolution,,,,gm,,
q074,,E3_evolution,,,,gm,,
q075,,E3_evolution,,,,gm,,
q076,,E4_unanswerable,,,,gm,,
q077,,E4_unanswerable,,,,gm,,
q078,,E4_unanswerable,,,,gm,,
q079,,E4_unanswerable,,,,gm,,
q080,,E4_unanswerable,,,,gm,,
q081,,E4_unanswerable,,,,gm,,
q082,,E4_unanswerable,,,,gm,,
q083,,E4_unanswerable,,,,gm,,
q084,,E4_unanswerable,,,,gm,,
q085,,E4_unanswerable,,,,gm,,
q086,,E4_unanswerable,,,,gm,,
q087,,E4_unanswerable,,,,gm,,
q088,,E4_unanswerable,,,,gm,,
q089,,E4_unanswerable,,,,gm,,
q090,,E4_unanswerable,,,,gm,,
q091,,E4_unanswerable,,,,gm,,
q092,,E4_unanswerable,,,,gm,,
q093,,E4_unanswerable,,,,gm,,
q094,,E4_unanswerable,,,,gm,,
q095,,E4_unanswerable,,,,gm,,
q096,,E4_unanswerable,,,,gm,,
q097,,E4_unanswerable,,,,gm,,
q098,,E4_unanswerable,,,,gm,,
q099,,E4_unanswerable,,,,gm,,
q100,,E4_unanswerable,,,,gm,,
