series_id,participant_id,role,native_language,native_speaker_status
IS1004,MIO047,marketing_expert,Spanish,non_native
IS1004,MIE090,user_interface_designer,English,native
IS1004,MIO019,project_manager,French,non_native
IS1004,MIO022,industrial_designer,Hindi,non_native
IS1006,MIO008,marketing_expert,French,non_native
IS1006,MIO040,user_interface_designer,Russian,non_native
IS1006,FIO041,project_manager,French,non_native
IS1006,MIO078,industrial_designer,Telugu,non_native
IS1008,MIE085,marketing_expert,English,native
IS1008,FIE038,user_interface_designer,English,native
IS1008,MIO086,project_manager,Hindi,non_native
IS1008,FIE073,industrial_designer,English,native
ES2015,FEE057,project_manager,English,native
ES2015,FEE058,industrial_designer,English,native
ES2015,FEE059,user_interface_designer,English,native
ES2015,FEE060,marketing_expert,English,native
ES2016,MEE061,project_manager,English,native
ES2016,MEO062,industrial_designer,German,non_native
ES2016,MEE063,user_interface_designer,English,native
ES2016,FEE064,marketing_expert,English,native
TS3005,MTD017PM,project_manager,Unknown,unknown
TS3005,MTD018ID,industrial_designer,Unknown,unknown
TS3005,FTD019UID,user_interface_designer,Unknown,unknown
TS3005,MTD020ME,marketing_expert,Unknown,unknown
