decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
IS1008a.d01,IS1008a,IS1008a.JacquelinePalmer.s.12,The group will discuss the design plans of the three experts at the next meeting.,1,A: so then we can discuss about uh further things .,,,,,,
IS1008a.d02,IS1008a,IS1008a.JacquelinePalmer.s.13,The group will first work on a functional design of the device.,1,"B: So , the immediate next step is to start determining the functional design , or",,,,,,
IS1008b.d01,IS1008b,IS1008b.JacquelinePalmer.s.14,The group will discuss which features to include in and eliminate from the final design of the product at the next meeting.,4,"B: and eliminate them later in the process , | B: I think we should <vocalsound> do as many features as uh <disfmarker> start with all of them right now | B: I think we should take that as an action item for after the meeting , | B: 'cause w our meeting time has run out .",,,,,,
IS1008b.d02,IS1008b,IS1008b.JacquelinePalmer.s.15,"The remote will have a slim shape and a simple interface, include a locator function and voice recognition, and be made of a hard material.",8,"A: and it will be slim , | C: 'Cause , for example , in the unbreakable thing , doing something plastic would be harder , | A: if you can add other facility , other feature , like uh unbreakable . | D: if it's got simple remote <disfmarker> speech remote uh control , like I said , louder , softer , change channel , on , off , remote , it goes beep beep , | D: I can find my my remote without spending half a day looking for it and getting all upset | C: and to keep the design basically sleek and simple . | D: So maybe one word speech recognition commands , | D: say remote , and there's a beep beep beep ,",,,,,,posible_compuesta
IS1008c.d01,IS1008c,IS1008c.JacquelinePalmer.s.10,The group decided on the features that will be included in the final design of the prototype.,4,"A: but uh le let's decide first about the components concept and uh interface concept , okay , | C: A customisable and <disfmarker> | C: and um I think we've kinda come to some agreement regarding um this concept of a wooden case . | C: So the <vocalsound> the advanced chip on print is what um what we've <vocalsound> we've deci we've determined",,,,,,
IS1008c.d02,IS1008c,IS1008c.JacquelinePalmer.s.11,"The remote will have customized wood casing and ergonomic sizing, voice recognition, a locator function, rubber buttons in a simple arrangement, an advanced chip, and a battery life indicator.",9,"C: I think that people will might really want to design their own cases , | C: you know uh , well you guys come from tropical countries so you can kinda think of some trees and some nice woods . | C: and then they could submit their orders , kinda like you submit a custom car order , you know , | B: Well , already the customisability is a really good sort of new gimmick . | C: So the <vocalsound> the advanced chip on print is what um what we've <vocalsound> we've deci we've determined | C: and um I think we've kinda come to some agreement regarding um this concept of a wooden case . | C: A customisable and <disfmarker> | C: I think they could be rubber like they are now , | B: What about the buttons , would <disfmarker> Would the buttons be wood too , or <disfmarker>",,,,,,posible_compuesta
IS1008c.d03,IS1008c,IS1008c.JacquelinePalmer.s.12,"The group discussed including a display on the remote, but the prototype will be designed without a display until the Marketing Expert finds out how much it would cost to add it.",6,"B: I mean I think it's a good idea , | B: So , if we're trying to keep costs down , then maybe sacrificing the display is a way to go . | B: but we need to really think about how useful it's gonna be | B: I mean it depends on how much putting a display costs and what it would be used for <disfmarker> | C: Do you wanna take an action item to go find out ? | D: Once we get a price on it then we can market it .",,,,,,
IS1008c.d04,IS1008c,IS1008c.JacquelinePalmer.s.13,The group decided to contact another company to manufacture the product that could do it cheaply yet still paid fair wages.,3,"C: We'd also have to wor um consider that uh who we were gonna get to make these custom cases in terms of manufacturing processes , | A: Yeah , but we can get a production in , uh <vocalsound> , countries like , uh , India | C: but you don't wanna exploit uh labour in um third world countries .",,,,,,
IS1008d.d01,IS1008d,IS1008d.JacquelinePalmer.s.13,The group decided that the LCD display will be included in the design and that the microphone for the remote will be placed on the side of the device.,2,"C: it can be on the side somewhere . | A: Yeah , the sides maybe is good .",,,,,,
IS1008d.d02,IS1008d,IS1008d.JacquelinePalmer.s.14,The Project Manager decided to negotiate the cost of production to allow the integration of the display into the design.,2,"A: so what uh I will do is I will try to negotiate with the vendors , okay , to get uh the production cost less , okay , | A: I will speak to the management and how to get uh you know some more uh cost down .",,,,,,
IS1008d.d03,IS1008d,IS1008d.JacquelinePalmer.s.15,"The group will work with other companies to promote the product and have it released along with other products or with an event, such as a sporting event.",5,"B: In fact , we should sell through Amazon , | B: Or eBay , yeah . | B: So I think what we need to do is perhaps to synchronise the final <disfmarker> the the launch of a user-tested device with some <gap> special event . | C: <vocalsound> That's actually good place to advertise it too . | B: <vocalsound> There might be some motion pictures that are coming out um <disfmarker> that are coming out on D_V_D_ that uh they need to have a m special remote control to work with it ,",,,,,,posible_compuesta
IS1008d.d04,IS1008d,IS1008d.JacquelinePalmer.s.16,The Project Manager decided that no additional changes will be made to the remote.,4,"A: So no more changes will be made , okay , in this <disfmarker> the basic design . | A: So we will introduce m this model and uh let's introduce in the market | A: and let's take the feedback from the customers , then we can uh go for the | C: well you have no redesign <disfmarker> not you personally , but in the project we have no redesign time and <disfmarker>",,,,,,
IS1008d.d05,IS1008d,IS1008d.JacquelinePalmer.s.17,"The product evaluation will occur at a later time, after the production of some real units have been produced, rather than evaluating the prototype.",3,"A: okay then , l uh let's wait for the production , okay , then uh you can evaluate the product , | A: so how it looks like technically and uh how it look like uh the real . | B: We probably should do some market tests uh once we have the prototypes and do some orders and things like that and test-market it .",,,,,,posible_compuesta
