pair_id,earlier_decision_id,later_decision_id,earlier_sentence_id,later_sentence_id,earlier_text,later_text,blocker_score,relation,direction_ok,confidence,annotator,notes
ES2008.p001,ES2008a.d05,ES2008b.d07,ES2008a.rdhillon_cc.s.16,ES2008b.rdhillon_cc.s.20,"One remote will contain main functions such as on, off, channel changing, and volume.",The remote will have large buttons for essential functions.,0.4,,,,,
ES2008.p002,ES2008a.d05,ES2008b.d08,ES2008a.rdhillon_cc.s.16,ES2008b.rdhillon_cc.s.21,"One remote will contain main functions such as on, off, channel changing, and volume.",The remote will have a possibility to get extra functions.,0.4,,,,,
ES2008.p003,ES2008a.d06,ES2008b.d06,ES2008a.rdhillon_cc.s.17,ES2008b.rdhillon_cc.s.19,An additional remote will contain special functions.,The remote will contain a function to aid in its recovery when lost.,0.4,,,,,
ES2008.p004,ES2008a.d06,ES2008b.d07,ES2008a.rdhillon_cc.s.17,ES2008b.rdhillon_cc.s.20,An additional remote will contain special functions.,The remote will have large buttons for essential functions.,0.4,,,,,
ES2008.p005,ES2008a.d06,ES2008b.d08,ES2008a.rdhillon_cc.s.17,ES2008b.rdhillon_cc.s.21,An additional remote will contain special functions.,The remote will have a possibility to get extra functions.,0.4,,,,,
ES2008.p006,ES2008a.d05,ES2008c.d07,ES2008a.rdhillon_cc.s.16,ES2008c.rdhillon.s.18,"One remote will contain main functions such as on, off, channel changing, and volume.","The remote will have a power button, volume buttons, channel preset buttons, and a menu button.",0.375,,,,,
ES2008.p007,ES2008a.d05,ES2008d.d04,ES2008a.rdhillon_cc.s.16,ES2008d.rdhillon.s.14,"One remote will contain main functions such as on, off, channel changing, and volume.",One of the color concepts for the remote will contain the corporate colors.,0.42857142857142855,,,,,
ES2008.p008,ES2008a.d06,ES2008d.d04,ES2008a.rdhillon_cc.s.17,ES2008d.rdhillon.s.14,An additional remote will contain special functions.,One of the color concepts for the remote will contain the corporate colors.,0.4,,,,,
ES2008.p009,ES2008b.d07,ES2008c.d07,ES2008b.rdhillon_cc.s.20,ES2008c.rdhillon.s.18,The remote will have large buttons for essential functions.,"The remote will have a power button, volume buttons, channel preset buttons, and a menu button.",0.4,,,,,
ES2008.p010,ES2008b.d03,ES2008d.d03,ES2008b.rdhillon_cc.s.16,ES2008d.rdhillon.s.13,The corporate image must be recognizable on the remote.,The corporate logo will be on the remote.,0.6666666666666666,,,,,
ES2008.p011,ES2008b.d07,ES2008d.d05,ES2008b.rdhillon_cc.s.20,ES2008d.rdhillon.s.15,The remote will have large buttons for essential functions.,The remote will have six buttons.,0.6666666666666666,,,,,
ES2008.p012,ES2008b.d03,ES2008d.d04,ES2008b.rdhillon_cc.s.16,ES2008d.rdhillon.s.14,The corporate image must be recognizable on the remote.,One of the color concepts for the remote will contain the corporate colors.,0.4,,,,,
ES2008.p013,ES2008c.d07,ES2008d.d05,ES2008c.rdhillon.s.18,ES2008d.rdhillon.s.15,"The remote will have a power button, volume buttons, channel preset buttons, and a menu button.",The remote will have six buttons.,0.6666666666666666,,,,,
ES2008.p014,ES2008c.d04,ES2008d.d04,ES2008c.rdhillon.s.15,ES2008d.rdhillon.s.14,The remote will be made in fruity colors.,One of the color concepts for the remote will contain the corporate colors.,0.5,,,,,
