pair_id,earlier_decision_id,later_decision_id,earlier_sentence_id,later_sentence_id,earlier_text,later_text,blocker_score,relation,direction_ok,confidence,annotator,notes
IS1004.r164,IS1004c.d02,IS1004d.d04,IS1004c.elana.s.29,IS1004d.elana.s.14,"The remote will have a base station, a button on the base station to press, 2 scroll wheels for the channels and volume, a turbo button (possibly underneath the device), and an on/off button for the TV.",Infared port on top of banana as well as bottom front of base station.,0.2222222222222222,,,,,
IS1004.r029,IS1004a.d04,IS1004c.d01,IS1004a.elana.s.17,IS1004c.elana.s.28,They will generate a proft of fifty million Euros.,"Thus far, LCD and ASR have been ruled out.",0.0,,,,,
IS1004.r007,IS1004a.d02,IS1004b.d01,IS1004a.elana.s.15,IS1004b.elana.s.13,The target selling price will be 25 Euro dollars.,The remote control will be for television only.,0.0,,,,,
IS1004.r071,IS1004a.d04,IS1004d.d05,IS1004a.elana.s.17,IS1004d.elana.s.15,They will generate a proft of fifty million Euros.,The control will be the approx.,0.0,,,,,
IS1004.r063,IS1004a.d03,IS1004d.d09,IS1004a.elana.s.16,IS1004d.elana.s.19,They will target the international market.,"For pricing reasons eliminate solar cells - use rechargable batteries as power source, base station used for battery-charging which should last 8-10 hours depending on frequency of use.",0.0,,,,,
IS1004.r058,IS1004a.d03,IS1004d.d04,IS1004a.elana.s.16,IS1004d.elana.s.14,They will target the international market.,Infared port on top of banana as well as bottom front of base station.,0.0,,,,,
IS1004.r036,IS1004a.d01,IS1004d.d03,IS1004a.elana.s.14,IS1004d.elana.s.13,The project goal is to develop a new remote control.,"Will contain a teletext button, when pressed teletext appears and channel selector can be used to navigate through the teletext.",0.0,,,,,
IS1004.r027,IS1004a.d03,IS1004c.d01,IS1004a.elana.s.16,IS1004c.elana.s.28,They will target the international market.,"Thus far, LCD and ASR have been ruled out.",0.0,,,,,
IS1004.r174,IS1004c.d01,IS1004d.d07,IS1004c.elana.s.28,IS1004d.elana.s.17,"Thus far, LCD and ASR have been ruled out.",Will be made of plastic.,0.0,,,,,
IS1004.r140,IS1004b.d05,IS1004d.d02,IS1004b.elana.s.17,IS1004d.elana.s.12,"Because of budget restrictions, they cannot do speech recognition technologies.","The volume scroll wheel will be on the left, channel scroll on the right.",0.0,,,,,
IS1004.r023,IS1004a.d01,IS1004c.d02,IS1004a.elana.s.14,IS1004c.elana.s.29,The project goal is to develop a new remote control.,"The remote will have a base station, a button on the base station to press, 2 scroll wheels for the channels and volume, a turbo button (possibly underneath the device), and an on/off button for the TV.",0.16666666666666666,,,,,
IS1004.r152,IS1004b.d06,IS1004d.d02,IS1004b.elana.s.18,IS1004d.elana.s.12,Corporate logo will be clearly displayed on product.,"The volume scroll wheel will be on the left, channel scroll on the right.",0.0,,,,,
IS1004.r109,IS1004b.d02,IS1004d.d02,IS1004b.elana.s.14,IS1004d.elana.s.12,"The remote control should be fancy, a good shape, and not too small or too big.","The volume scroll wheel will be on the left, channel scroll on the right.",0.0,,,,,
IS1004.r009,IS1004a.d02,IS1004b.d04,IS1004a.elana.s.15,IS1004b.elana.s.16,The target selling price will be 25 Euro dollars.,A wheel should be used to navigate.,0.0,,,,,
IS1004.r008,IS1004a.d02,IS1004b.d02,IS1004a.elana.s.15,IS1004b.elana.s.14,The target selling price will be 25 Euro dollars.,"The remote control should be fancy, a good shape, and not too small or too big.",0.0,,,,,
IS1004.r024,IS1004a.d01,IS1004c.d01,IS1004a.elana.s.14,IS1004c.elana.s.28,The project goal is to develop a new remote control.,"Thus far, LCD and ASR have been ruled out.",0.0,,,,,
IS1004.r056,IS1004a.d03,IS1004d.d02,IS1004a.elana.s.16,IS1004d.elana.s.12,They will target the international market.,"The volume scroll wheel will be on the left, channel scroll on the right.",0.0,,,,,
IS1004.r060,IS1004a.d03,IS1004d.d06,IS1004a.elana.s.16,IS1004d.elana.s.16,They will target the international market.,Weight of an actual banana but a special shade of yellow.,0.0,,,,,
IS1004.r130,IS1004b.d04,IS1004d.d04,IS1004b.elana.s.16,IS1004d.elana.s.14,A wheel should be used to navigate.,Infared port on top of banana as well as bottom front of base station.,0.0,,,,,
IS1004.r155,IS1004b.d06,IS1004d.d05,IS1004b.elana.s.18,IS1004d.elana.s.15,Corporate logo will be clearly displayed on product.,The control will be the approx.,0.0,,,,,
IS1004.r182,IS1004c.d02,IS1004d.d07,IS1004c.elana.s.29,IS1004d.elana.s.17,"The remote will have a base station, a button on the base station to press, 2 scroll wheels for the channels and volume, a turbo button (possibly underneath the device), and an on/off button for the TV.",Will be made of plastic.,0.0,,,,,
