pair_id,earlier_decision_id,later_decision_id,earlier_text,later_text,blocker_score,relation,direction_ok,confidence,annotator,notes
TS3005.p001,TS3005b.rdhillon.s.18,TS3005c.rdhillon.s.13,The remote will be capable of speech recognition if there is enough money left in the team's budget.,The remote will contain a microphone for speech recognition.,0.6,,,,,
TS3005.p002,TS3005b.rdhillon.s.17,TS3005c.rdhillon.s.9,The remote will have a rechargeable battery which comes with a charger.,The remote will use rechargeable batteries which recharge in a docking station.,0.5,,,,,
TS3005.p003,TS3005b.rdhillon.s.11,TS3005d.rdhillon.s.10,"The remote will have buttons within the LCD display for power, volume selection, channel selection, digits from zero to nine, mute, a menu for teletext, a battery indicator, to access double digits, screen settings, channel settings, and audio settings.",The remote uses a conventional battery.,0.5,,,,,
TS3005.p004,TS3005b.rdhillon.s.12,TS3005d.rdhillon.s.11,The remote will feature an LCD screen.,The remote will not use a sample speaker and feature speech recognition.,0.5,,,,,
TS3005.p005,TS3005b.rdhillon.s.12,TS3005d.rdhillon.s.15,The remote will feature an LCD screen.,The remote will not feature a scroll wheel.,0.5,,,,,
TS3005.p006,TS3005b.rdhillon.s.17,TS3005d.rdhillon.s.10,The remote will have a rechargeable battery which comes with a charger.,The remote uses a conventional battery.,0.5,,,,,
TS3005.p007,TS3005b.rdhillon.s.18,TS3005d.rdhillon.s.11,The remote will be capable of speech recognition if there is enough money left in the team's budget.,The remote will not use a sample speaker and feature speech recognition.,0.5,,,,,
TS3005.p008,TS3005c.rdhillon.s.11,TS3005d.rdhillon.s.13,The case will be single curved.,The case will be single curved.,1.0,,,,,
TS3005.p009,TS3005c.rdhillon.s.12,TS3005d.rdhillon.s.14,The case will be made of rubber.,The case is made of rubber.,1.0,,,,,
TS3005.p010,TS3005c.rdhillon.s.10,TS3005d.rdhillon.s.12,The remote will use a chip on print.,The remote will use an advanced chip.,0.6666666666666666,,,,,
TS3005.p011,TS3005c.rdhillon.s.13,TS3005d.rdhillon.s.11,The remote will contain a microphone for speech recognition.,The remote will not use a sample speaker and feature speech recognition.,0.6,,,,,
