decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
ES2008a.d01,ES2008a,ES2008a.rdhillon_cc.s.12,The remote will be sold for 25 Euro.,1,A: we'd like to sell it for about twenty five Euro with the profit aim of um fifteen million Euro um from our sales,,,,,,frase_corta
ES2008a.d02,ES2008a,ES2008a.rdhillon_cc.s.13,The profit aim is fifteen million Euro.,1,A: we'd like to sell it for about twenty five Euro with the profit aim of um fifteen million Euro um from our sales,,,,,,
ES2008a.d03,ES2008a,ES2008a.rdhillon_cc.s.14,The remote will be sold on an international scale.,1,"A: and because this is such <disfmarker> this is for television it's a <disfmarker> we have a market range of Internet , like it's an international market range ,",,,,,,
ES2008a.d04,ES2008a,ES2008a.rdhillon_cc.s.15,The maximum production cost for the remote is 12.50 Euro.,1,"A: Um in order to make a profit of this magnitude , we need to um be able to produce each one at a maximum of twelve fifty Euro .",,,,,,
ES2008a.d05,ES2008a,ES2008a.rdhillon_cc.s.16,"One remote will contain main functions such as on, off, channel changing, and volume.",1,"A: so maybe have like one remote that has the main functions on , off , channel changing , volume , and another rote remote with all the special things .",,,,,,posible_compuesta
ES2008a.d06,ES2008a,ES2008a.rdhillon_cc.s.17,An additional remote will contain special functions.,1,B: and if um if you'd save the more complicated functions maybe for separate remotes that you wouldn't need to use every day .,,,,,,
ES2008b.d01,ES2008b,ES2008b.rdhillon_cc.s.14,The team will not work with teletext.,2,"A: We didn't bring it up yet , or at all in the meetings so far , | A: but we're not gonna work with teletext",,,,,,frase_corta
ES2008b.d02,ES2008b,ES2008b.rdhillon_cc.s.15,The remote will be used only with televisions.,1,"A: like your question earlier um whether this is going to be t for television , video , or etcetera . Just for television . That's what we're focused on .",,,,,,frase_corta
ES2008b.d03,ES2008b,ES2008b.rdhillon_cc.s.16,The corporate image must be recognizable on the remote.,2,"A: Um and finally there's more marketing , I think , um , our corporate image has to be recognisable . | A: while we're gonna make it look pretty we need to use our colour and our slogan i in the new design .",,,,,,
ES2008b.d04,ES2008b,ES2008b.rdhillon_cc.s.17,The team's design will focus on simplicity and fashion.,1,C: Si simplicity and fashion .,,,,,,
ES2008b.d05,ES2008b,ES2008b.rdhillon_cc.s.18,"Rather than define a specific target group by age, the team will define objectives such as fashion and simplicity instead.",5,"C: Si simplicity and fashion . | C: I think the product appeals across a quite a broad range of ages . | C: so it's going to appeal to people , maybe people who have problems with technology , you know , people who get scared by having lots of buttons , | D: maybe we don't have to defi define the target group by the demographic of age , | A: So maybe it's more useful to d d to define objectives like fashion and simplicity than to find specific target group as far as age is <disfmarker>",,,,,,posible_compuesta
ES2008b.d06,ES2008b,ES2008b.rdhillon_cc.s.19,The remote will contain a function to aid in its recovery when lost.,1,A: Um so we want something to keep it from getting lost .,,,,,,
ES2008b.d07,ES2008b,ES2008b.rdhillon_cc.s.20,The remote will have large buttons for essential functions.,1,A: And <vocalsound> we want um we want large buttons for the essential things .,,,,,,
ES2008b.d08,ES2008b,ES2008b.rdhillon_cc.s.21,The remote will have a possibility to get extra functions.,1,A: We want a possibility to um to get um a possibility to get the extra functions .,,,,,,
ES2008b.d09,ES2008b,ES2008b.rdhillon_cc.s.22,"The buttons for extra, infrequently used functions will be hidden in the design in some manner.",5,"D: 'Cause then 's like people who don't wanna ever look at them , never even have to see them | D: and then you could like pull something out , | D: that had like the main buttons | D: like if it was just a simple , either this way or this way , | C: Which are kind of hidden away in some way",,,,,,
ES2008b.d10,ES2008b,ES2008b.rdhillon_cc.s.23,The remote will have a charging station.,2,"A: that's <vocalsound> that's a good idea , | B: But you could maybe have it in a little charging station like a mobile phone , or like a little cradle for your iPod .",,,,,,frase_corta
ES2008c.d01,ES2008c,ES2008c.rdhillon.s.12,The target group comprises of individuals who can afford the product.,1,"A: We decided our target group is the focus on who can afford it ,",,,,,,
