decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
TS3005a.d01,TS3005a,TS3005a.rdhillon.s.9,The production cost will be 12.50 Euro maximum.,1,A: And the production cost will be twelve Euro fifty max .,,,,,,
TS3005b.d01,TS3005b,TS3005b.rdhillon.s.7,The team will not pay any attention to teletext.,2,A: Um teletext does <disfmarker> has become outdated since the popularity of the internet . | A: <vocalsound> So that's uh the first thing we I think we should pay less attention to uh teletext .,,,,,,
TS3005b.d02,TS3005b,TS3005b.rdhillon.s.8,The remote will only be used for televisions.,2,"A: Uh the remote control should only be used for the television , | A: otherwise the project becomes more complex ,",,,,,,frase_corta
TS3005b.d03,TS3005b,TS3005b.rdhillon.s.9,The product needs to reach a new market with customers under forty.,1,"A: and new product should reach a new market with customers that are younger than forty ,",,,,,,
TS3005b.d04,TS3005b,TS3005b.rdhillon.s.10,The corporate image must be recognizable in the product.,2,"A: And uh a last point , but also very important , our corporate image should stay recognisable in our products , | A: which means that our uh corporate colour and slogan must be implemented in the new design .",,,,,,
TS3005b.d05,TS3005b,TS3005b.rdhillon.s.11,"The remote will have buttons within the LCD display for power, volume selection, channel selection, digits from zero to nine, mute, a menu for teletext, a battery indicator, to access double digits, screen settings, channel settings, and audio settings.",8,"C: perhaps we should we should focus on that L_C_D_ screen . | B: A mute button . | D: <vocalsound> The most important things on a f on an on an uh remote control are channel selection , volume con selection , | D: and power s power usage . | D: And other other less important things are screen settings , audio settings , and channel settings , | A: I've written down an an on or off button , volume selection , channel selection , uh the digits from one to zero , huh . Um <disfmarker> or from zero to nine . Uh a digits button to switch uh between one and two digits , mute button , a separate menu for teletext , a battery indicator . | D: we could also implement a audio settings , screen settings and channel settings , but as sub-menus . | D: Channel settings .",,,,,,posible_compuesta
TS3005b.d06,TS3005b,TS3005b.rdhillon.s.12,The remote will feature an LCD screen.,3,"A: we're going for an L_C_D_ screen ? | D: I think it's the most easier thing , | A: But for now it's L_C_D_ . Okay .",,,,,,
TS3005b.d07,TS3005b,TS3005b.rdhillon.s.13,The LCD screen will have a separate menu for teletext.,2,"A: and we could make an a a separate menu on the L_C_D_ uh screen for teletext . | A: so not too much teletext support , but in a separate menu ,",,,,,,
TS3005b.d08,TS3005b,TS3005b.rdhillon.s.14,The remote will shut down when the television shuts down.,1,"D: so I think it's better when th the T_V_ shuts down , the remote shuts down .",,,,,,
TS3005b.d09,TS3005b,TS3005b.rdhillon.s.15,The remote will go into standby when idle.,1,"C: And go to standby mode when you don't use it ,",,,,,,
TS3005b.d10,TS3005b,TS3005b.rdhillon.s.16,The LCD screen will have a low battery indicator.,1,A: And maybe a low battery indicator ? On the screen .,,,,,,
TS3005b.d11,TS3005b,TS3005b.rdhillon.s.17,The remote will have a rechargeable battery which comes with a charger.,2,D: of put it in a recharger . Charger . | A: So we are going for the for the recharger .,,,,,,
TS3005b.d12,TS3005b,TS3005b.rdhillon.s.18,The remote will be capable of speech recognition if there is enough money left in the team's budget.,4,"A: But would it be useful to imple implement both ? | D: Yeah , if the costs al allow it . <vocalsound> | C: it should be done . If it could be done , should be done . | A: so we only do this when we have enough money left .",,,,,,
TS3005b.d13,TS3005b,TS3005b.rdhillon.s.19,The remote will allow users to have the possibility to enlarge the buttons.,3,"C: so make it possible to not uh display uh a button at ten points | C: Functional designs uh for the elderly uh you could make it possible to enlarge the screen , | A: And uh the possibility to uh enlarge buttons or to have large buttons",,,,,,
TS3005b.d14,TS3005b,TS3005b.rdhillon.s.20,The remote will have a general menu with the most used functions.,0,,,,,,,sin_evidencia
