series_id,meeting_id,present,readable,layers_present,abstractive_decision_sentences,dds_segment_count,external_flag_count,recap_flag_count,parse_errors
ES2015,ES2015a,True,True,abstractive_summary|decision_discussion_segmentation,5,5,5,0,
ES2015,ES2015b,True,True,abstractive_summary|decision_discussion_segmentation,9,11,3,0,
ES2015,ES2015c,True,True,abstractive_summary|decision_discussion_segmentation,8,13,0,5,
ES2015,ES2015d,True,True,abstractive_summary|decision_discussion_segmentation,7,5,0,0,
ES2016,ES2016a,True,True,abstractive_summary|decision_discussion_segmentation,2,3,1,0,
ES2016,ES2016b,True,True,abstractive_summary|decision_discussion_segmentation,12,10,3,0,
ES2016,ES2016c,True,True,abstractive_summary|decision_discussion_segmentation,3,5,0,1,
ES2016,ES2016d,True,True,abstractive_summary|decision_discussion_segmentation,7,7,0,0,
IS1004,IS1004a,True,True,abstractive_summary|decision_discussion_segmentation,4,2,2,0,
IS1004,IS1004b,True,True,abstractive_summary|decision_discussion_segmentation,6,7,2,0,
IS1004,IS1004c,True,True,abstractive_summary|decision_discussion_segmentation,2,6,0,1,
IS1004,IS1004d,True,True,abstractive_summary|decision_discussion_segmentation,12,12,0,0,
IS1006,IS1006a,True,True,abstractive_summary|decision_discussion_segmentation,6,7,2,0,
IS1006,IS1006b,True,True,abstractive_summary|decision_discussion_segmentation,3,5,2,0,
IS1006,IS1006c,True,True,abstractive_summary|decision_discussion_segmentation,6,7,0,0,
IS1006,IS1006d,True,True,abstractive_summary|decision_discussion_segmentation,2,3,0,0,
IS1008,IS1008a,True,True,abstractive_summary|decision_discussion_segmentation,2,2,0,0,
IS1008,IS1008b,True,True,abstractive_summary|decision_discussion_segmentation,2,5,0,0,
IS1008,IS1008c,True,True,abstractive_summary|decision_discussion_segmentation,4,4,0,0,
IS1008,IS1008d,True,True,abstractive_summary|decision_discussion_segmentation,5,6,0,0,
TS3005,TS3005a,True,True,abstractive_summary|decision_discussion_segmentation,1,1,1,0,
TS3005,TS3005b,True,True,abstractive_summary|decision_discussion_segmentation,15,13,1,2,
TS3005,TS3005c,True,True,abstractive_summary|decision_discussion_segmentation,7,8,0,0,
TS3005,TS3005d,True,True,abstractive_summary|decision_discussion_segmentation,6,10,0,2,
